ShipName, Damage, Hit, Pierced, Penetrated, Received
I FF Shield, 2.04493827160494, 1.3662962962963, 1.10703703703704, 1.09779506172839, 0.740740740740741
I FF Shield, 1.90703703703704, 1.38333333333333, 1.12407407407407, 1.11505925925926, 0.740740740740741
I FF Shield, 1.97641975308642, 1.35654320987654, 1.09728395061728, 1.08831604938272, 0.740740740740741
I FF Shield, 1.87012345679012, 1.33012345679012, 1.07086419753086, 1.06217037037037, 0.740740740740741
J FF HP, 1.99606837606838, 1.37974358974359, 1.27717948717949, 1.26821538461538, 0.897435897435897
J FF HP, 2.01111111111111, 1.39470085470085, 1.29213675213675, 1.28325213675214, 0.897435897435897
J FF HP, 2.05435897435897, 1.39094017094017, 1.28837606837607, 1.2795, 0.897435897435897
J FF HP, 1.92991452991453, 1.37700854700855, 1.27444444444444, 1.26551367521368, 0.897435897435897
J FF HP, 1.98196581196581, 1.39239316239316, 1.28982905982906, 1.28083675213675, 0.897435897435897
J FF HP, 1.99512820512821, 1.4065811965812, 1.30401709401709, 1.29488376068376, 0.897435897435897
J FF HP, 1.92581196581197, 1.38735042735043, 1.28478632478632, 1.27578803418803, 0.897435897435897
J FF HP, 2.0465811965812, 1.39461538461538, 1.29205128205128, 1.28282051282051, 0.897435897435897
J FF HP, 2.06786324786325, 1.39102564102564, 1.28846153846154, 1.27941623931624, 0.897435897435897
J FF HP, 2.06940170940171, 1.40307692307692, 1.30051282051282, 1.29146239316239, 0.897435897435897
K DD Null, 2.12361111111111, 1.59527777777778, 1.42861111111111, 1.40960277777778, 0.833333333333333
K DD Null, 2.16694444444444, 1.61611111111111, 1.44944444444444, 1.4294125, 0.833333333333333
K DD Null, 2.19298611111111, 1.59479166666667, 1.428125, 1.40929027777778, 0.833333333333333
K DD Null, 2.18472222222222, 1.61659722222222, 1.44993055555556, 1.42980555555555, 0.833333333333333
K DD Null, 2.13409722222222, 1.58368055555556, 1.41701388888889, 1.39897777777778, 0.833333333333333
K DD Null, 2.20201388888889, 1.61930555555556, 1.45263888888889, 1.43160694444444, 0.833333333333333
K DD Null, 2.18347222222222, 1.61222222222222, 1.44555555555556, 1.42544583333333, 0.833333333333333
K DD Null, 2.26868055555556, 1.63659722222222, 1.46993055555556, 1.44894166666667, 0.833333333333333
K DD Null, 2.26763888888889, 1.61208333333333, 1.44541666666667, 1.42521805555555, 0.833333333333333
K DD Null, 2.21847222222222, 1.62083333333333, 1.45416666666667, 1.43374166666667, 0.833333333333333
L DD EVD, 2.81763888888889, 1.59458333333333, 1.42791666666667, 1.4098375, 0.833333333333333
L DD EVD, 2.70659722222222, 1.61777777777778, 1.45111111111111, 1.43083472222222, 0.833333333333333
L DD EVD, 2.70236111111111, 1.61506944444444, 1.44840277777778, 1.42955972222222, 0.833333333333333
L DD EVD, 2.85152777777778, 1.60277777777778, 1.43611111111111, 1.41709027777778, 0.833333333333333
L DD EVD, 2.82902777777778, 1.62104166666667, 1.454375, 1.43445138888889, 0.833333333333333
L DD EVD, 2.74284722222222, 1.60347222222222, 1.43680555555556, 1.41818611111111, 0.833333333333333
L DD EVD, 2.74409722222222, 1.59458333333333, 1.42791666666667, 1.40882222222222, 0.833333333333333
L DD EVD, 2.87902777777778, 1.61388888888889, 1.44722222222222, 1.42784166666667, 0.833333333333333
L DD EVD, 2.74409722222222, 1.60520833333333, 1.43854166666667, 1.41939444444444, 0.833333333333333
L DD EVD, 2.833125, 1.62618055555556, 1.45951388888889, 1.43881805555555, 0.833333333333333
M DD PROT, 2.62708333333333, 1.86215277777778, 1.69548611111111, 1.3996875, 0.833333333333333
M DD PROT, 2.48041666666667, 1.82430555555556, 1.65763888888889, 1.38423611111111, 0.833333333333333
M DD PROT, 2.43534722222222, 1.80208333333333, 1.63541666666667, 1.37024305555556, 0.833333333333333
M DD PROT, 2.55326388888889, 1.83451388888889, 1.66784722222222, 1.3875, 0.833333333333333
M DD PROT, 2.46263888888889, 1.81791666666667, 1.65125, 1.3825, 0.833333333333333
M DD PROT, 2.54847222222222, 1.82569444444444, 1.65902777777778, 1.38909722222222, 0.833333333333333
M DD PROT, 2.45479166666667, 1.83, 1.66333333333333, 1.38902777777778, 0.833333333333333
M DD PROT, 2.41131944444444, 1.77340277777778, 1.60673611111111, 1.36390625, 0.833333333333333
M DD PROT, 2.500625, 1.82604166666667, 1.659375, 1.38199652777778, 0.833333333333333
M DD PROT, 2.47951388888889, 1.86034722222222, 1.69368055555556, 1.40208333333333, 0.833333333333333
N DD Shield, 2.21533333333333, 1.5806, 1.3806, 1.361472, 0.8
N DD Shield, 2.19833333333333, 1.5894, 1.3894, 1.369628, 0.8
N DD Shield, 2.1692, 1.5782, 1.3782, 1.35875733333333, 0.8
N DD Shield, 2.1916, 1.58246666666667, 1.38246666666667, 1.362856, 0.8
N DD Shield, 2.1204, 1.57006666666667, 1.37006666666667, 1.35162933333333, 0.8
N DD Shield, 2.15573333333333, 1.55086666666667, 1.35086666666667, 1.33457066666667, 0.8
N DD Shield, 2.18273333333333, 1.61873333333333, 1.41873333333333, 1.39706, 0.8
N DD Shield, 2.1104, 1.56533333333333, 1.36533333333333, 1.34686, 0.8
N DD Shield, 2.20646666666667, 1.61493333333333, 1.41493333333333, 1.39363866666667, 0.8
N DD Shield, 2.0664, 1.53633333333333, 1.33633333333333, 1.319556, 0.8
O DD HP, 2.20218390804598, 1.63350574712644, 1.49557471264368, 1.47561379310345, 0.862068965517241
O DD HP, 2.18132183908046, 1.62545977011494, 1.48752873563218, 1.4679632183908, 0.862068965517241
O DD HP, 2.16034482758621, 1.61471264367816, 1.4767816091954, 1.45796896551724, 0.862068965517241
O DD HP, 2.22994252873563, 1.66247126436782, 1.52454022988506, 1.50270574712644, 0.862068965517241
O DD HP, 2.27252873563218, 1.64040229885057, 1.50247126436782, 1.48118045977011, 0.862068965517241
O DD HP, 2.18735632183908, 1.615, 1.47706896551724, 1.4573632183908, 0.862068965517241
O DD HP, 2.16574712643678, 1.62379310344828, 1.48586206896552, 1.46595287356322, 0.862068965517241
O DD HP, 2.2514367816092, 1.63862068965517, 1.50068965517241, 1.48012643678161, 0.862068965517241
O DD HP, 2.2067816091954, 1.62459770114943, 1.48666666666667, 1.46678045977011, 0.862068965517241
O DD HP, 2.2101724137931, 1.6217816091954, 1.48385057471264, 1.46470689655172, 0.862068965517241
P CA Null, 2.70322886989554, 2.13960113960114, 1.97293447293447, 1.88796296296297, 0.833333333333333
P CA Null, 2.80555555555556, 2.19622507122507, 2.0295584045584, 1.93979344729345, 0.833333333333333
P CA Null, 2.73646723646724, 2.1625118708452, 1.99584520417854, 1.9105175688509, 0.833333333333333
P CA Null, 2.77041785375119, 2.15764482431149, 1.99097815764482, 1.90472459639127, 0.833333333333333
P CA Null, 2.85933048433048, 2.16547958214625, 1.99881291547958, 1.91065764482431, 0.833333333333333
P CA Null, 2.75047483380817, 2.1423314339981, 1.97566476733143, 1.89306505223172, 0.833333333333333
P CA Null, 2.83689458689459, 2.20156695156695, 2.03490028490029, 1.94451566951567, 0.833333333333333
P CA Null, 2.74655745489079, 2.13900759734093, 1.97234093067426, 1.88837369420703, 0.833333333333333
P CA Null, 2.78490028490029, 2.15254036087369, 1.98587369420703, 1.89976258309592, 0.833333333333333
P CA Null, 2.73492402659069, 2.13259734093067, 1.96593067426401, 1.88442070275404, 0.833333333333333
Q CA EVD, 4.37203228869896, 2.33368945868946, 2.16702279202279, 1.9223314339981, 0.833333333333333
Q CA EVD, 4.37060778727445, 2.31600189933523, 2.14933523266857, 1.90720797720798, 0.833333333333333
Q CA EVD, 4.42212725546059, 2.30021367521368, 2.13354700854701, 1.89402184235518, 0.833333333333333
Q CA EVD, 4.50997150997151, 2.33677587844255, 2.17010921177588, 1.9246391263058, 0.833333333333333
Q CA EVD, 4.5065289648623, 2.28264482431149, 2.11597815764482, 1.88198005698006, 0.833333333333333
Q CA EVD, 4.2724358974359, 2.26638176638177, 2.0997150997151, 1.87044634377968, 0.833333333333333
Q CA EVD, 4.26899335232669, 2.34401709401709, 2.17735042735043, 1.92908831908832, 0.833333333333333
Q CA EVD, 4.55080721747388, 2.32656695156695, 2.15990028490029, 1.9157787274454, 0.833333333333333
Q CA EVD, 4.44669990503324, 2.33119658119658, 2.16452991452991, 1.91480531813865, 0.833333333333333
Q CA EVD, 4.33487654320988, 2.28513770180437, 2.1184710351377, 1.88758784425451, 0.833333333333333
R CA PROT, 3.96616809116809, 3.09128679962013, 2.92462013295347, 1.75322412155746, 0.833333333333333
R CA PROT, 3.97162867996201, 3.07146248812915, 2.90479582146249, 1.7518720322887, 0.833333333333333
R CA PROT, 4.04297245963913, 3.1184710351377, 2.95180436847104, 1.77188271604939, 0.833333333333333
R CA PROT, 4.02943969610636, 3.13081671415005, 2.96415004748338, 1.77164292497626, 0.833333333333333
R CA PROT, 3.87856125356125, 2.96426875593542, 2.79760208926876, 1.73128798670466, 0.833333333333333
R CA PROT, 3.98278727445394, 3.06576448243115, 2.89909781576448, 1.75226377018044, 0.833333333333333
R CA PROT, 3.91809116809117, 3.04760208926876, 2.88093542260209, 1.75555080721748, 0.833333333333333
R CA PROT, 3.98385565052232, 3.12345679012346, 2.95679012345679, 1.77199667616334, 0.833333333333333
R CA PROT, 3.82526115859449, 2.9616571699905, 2.79499050332384, 1.73564577397911, 0.833333333333333
R CA PROT, 4.01388888888889, 3.10671889838556, 2.9400522317189, 1.77115978157645, 0.833333333333333
S CA Shield, 2.61730899256254, 2.09296822177147, 1.88404327248141, 1.80153482082488, 0.791075050709939
S CA Shield, 2.68954248366013, 2.09972954699121, 1.89080459770115, 1.8075321162948, 0.791075050709939
S CA Shield, 2.63736759071445, 2.11370295244535, 1.90477800315529, 1.82007888212757, 0.791075050709939
S CA Shield, 2.65844038764931, 2.09240477800316, 1.88347982871309, 1.80093757043047, 0.791075050709939
S CA Shield, 2.79603335587108, 2.12530989407257, 1.91638494478251, 1.82900833896777, 0.791075050709939
S CA Shield, 2.7070092404778, 2.11313950867703, 1.90421455938697, 1.81948839305837, 0.791075050709939
S CA Shield, 2.60480054090602, 2.09319359927879, 1.88426864998873, 1.80291638494478, 0.791075050709939
S CA Shield, 2.7097137705657, 2.08981293666892, 1.88088798737886, 1.79975884606716, 0.791075050709939
S CA Shield, 2.6255352715799, 2.11449177372098, 1.90556682443092, 1.82198332206446, 0.791075050709939
S CA Shield, 2.67658327698896, 2.10311020960108, 1.89418526031102, 1.81079783637593, 0.791075050709939
T CA HP, 2.81094247704703, 2.209480981825, 2.07794641184186, 1.98864343264006, 0.868465430016863
T CA HP, 2.87352445193929, 2.21219786396852, 2.08066329398538, 1.99274873524452, 0.868465430016863
T CA HP, 2.83061645118981, 2.18362375866592, 2.05208918868278, 1.96633876709762, 0.868465430016863
T CA HP, 2.7997002061083, 2.20592092936106, 2.07438635937793, 1.98666854037849, 0.868465430016863
T CA HP, 2.90153644369496, 2.22915495596777, 2.09762038598464, 2.00561364062207, 0.868465430016863
T CA HP, 2.79276747236275, 2.18165636125164, 2.0501217912685, 1.96425332583849, 0.868465430016863
T CA HP, 2.88654674910999, 2.22550121791269, 2.09396664792955, 2.00251639497845, 0.868465430016863
T CA HP, 2.86415589282368, 2.21482106052089, 2.08328649053776, 1.99447255012179, 0.868465430016863
T CA HP, 2.86387483605022, 2.16554243957279, 2.03400786958966, 1.95293423271501, 0.868465430016863
T CA HP, 2.73140341015552, 2.21557054525014, 2.084035975267, 1.99616076447443, 0.868465430016863
